name,price,image,chipset,memory,core_clock,boost_clock,color,length,rating
Gigabyte GAMING OC,429.99,https://cdna.pcpartpicker.com/static/forever/images/product/867a636cde1c3c9762b06bde17acd022.256p.jpg,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,Black,281 mm,4.5
Gigabyte WINDFORCE OC,315.99,https://cdna.pcpartpicker.com/static/forever/images/product/b5efd683779ac37de1ac562745545713.256p.jpg,GeForce RTX 5060,8 GB,2280 MHz,,Black,199 mm,5
Gigabyte WINDFORCE OC SFF,586,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg,GeForce RTX 5070,12 GB,2160 MHz,2542 MHz,Black,282 mm,5
Asus ROG Astral OC,3559,https://cdna.pcpartpicker.com/static/forever/images/product/0161407080353d18971dcccd15dc3722.256p.jpg,GeForce RTX 5090,32 GB,2010 MHz,2610 MHz,Black / Silver,358 mm,5
Asus DUAL OC,518.99,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg,GeForce RTX 5060 Ti,16 GB,2410 MHz,2632 MHz,Black / Silver,229 mm,5
Sapphire PULSE,409.98,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg,Radeon RX 9060 XT,16 GB,2220 MHz,3290 MHz,Black,240 mm,4.5
PNY OC,1159.99,https://cdna.pcpartpicker.com/static/forever/images/product/0f3e8c7fec641072601f855e0e3f8cf2.256p.jpg,GeForce RTX 5080,16 GB,2300 MHz,2730 MHz,Black,329 mm,4.5
PowerColor Reaper,639.99,https://cdna.pcpartpicker.com/static/forever/images/product/160efdc913b158179077601d43569379.256p.jpg,Radeon RX 9070 XT,16 GB,2400 MHz,2970 MHz,Black / Red,289 mm,4
MSI SHADOW 3X OC,876.91,https://cdna.pcpartpicker.com/static/forever/images/product/7221b486502c1d25055ea2c4178c77c9.256p.jpg,GeForce RTX 5070 Ti,16 GB,2300 MHz,2497 MHz,Black,303 mm,4.5
Asus PRIME OC,643.51,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg,Radeon RX 9070 XT,16 GB,2460 MHz,3030 MHz,Black,312 mm,4.5
XFX Swift OC,399,https://cdna.pcpartpicker.com/static/forever/images/product/d07f7f24d04083a57ef41d3130cbd992.256p.jpg,Radeon RX 9060 XT,16 GB,2220 MHz,3320 MHz,Black,270 mm,4.5
ASRock Challenger OC,331.8,https://cdna.pcpartpicker.com/static/forever/images/product/35163463b989d1be13df38d5819cb039.256p.jpg,Radeon RX 7600,8 GB,1720 MHz,2695 MHz,Black,269 mm,5
MSI GeForce RTX 3060 Ventus 2X 12G OC,,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,GeForce RTX 3060 12GB,12 GB,1320 MHz,1777 MHz,Black,235 mm,4.5
