name,price,image,socket,form_factor,memory_max,memory_slots,color,rating
MSI MAG B850 TOMAHAWK MAX WIFI,217.99,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg,AM5,ATX,256 GB,4,Black / Green,4.5
Gigabyte B850 AORUS ELITE WIFI7,189.95,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
Asus PRIME B550M-A WIFI II,89.4,https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg,AM4,Micro ATX,128 GB,4,Blue / Silver,4
Asus B650E MAX GAMING WIFI W,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg,AM5,ATX,256 GB,4,White,4.5
Gigabyte B650 EAGLE AX,112.99,AM5,AM5,ATX,192 GB,4,Gray / Black,4.5
Asus TUF GAMING B650-PLUS WIFI,134.53,https://cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg,AM5,ATX,128 GB,4,Black,4
Gigabyte A520M K V2,42.99,https://cdna.pcpartpicker.com/static/forever/images/product/ad69b238cf570ec07fb8a00adda58eda.256p.jpg,AM4,Micro ATX,64 GB,2,Brown / Black,3.5
MSI B550M PRO-VDH WIFI,89.99,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg,AM4,Micro ATX,128 GB,4,Black,4.5
Gigabyte B550 EAGLE WIFI6,99.94,https://cdna.pcpartpicker.com/static/forever/images/product/9435af2197a80fcb37bc356ec9b83413.256p.jpg,AM4,ATX,128 GB,4,Black,4
Gigabyte B650M GAMING PLUS WIFI,168.51,https://cdna.pcpartpicker.com/static/forever/images/product/dbb71bb11592fff92343d7d68db13544.256p.jpg,AM5,Micro ATX,192 GB,4,Silver / Black,3.5
ASRock B850M Pro-A WiFi,117.99,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg,AM5,Micro ATX,256 GB,4,Black,4.5
Asus TUF GAMING B850-E WIFI,129.97,AM5,AM5,ATX,256 GB,4,Black,5
Gigabyte B550M K,69.99,https://cdna.pcpartpicker.com/static/forever/images/product/f52a9a0b2a28f096b5b1e5bf02707224.256p.jpg,AM4,Micro ATX,128 GB,4,Brown / Silver,3.5
Gigabyte X870E AORUS ELITE WIFI7,259.99,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
Gigabyte B850 EAGLE WIFI6E,149.99,https://cdna.pcpartpicker.com/static/forever/images/product/2a9181a93dc5c38ea219e25f07ff1322.256p.jpg,AM5,ATX,256 GB,4,Gray / Black,4.5
ASRock B850I Lightning WiFi,179.99,AM5,AM5,Mini ITX,128 GB,2,Black,4
MSI MAG B650 TOMAHAWK WIFI,187,https://cdna.pcpartpicker.com/static/forever/images/product/dc9235e0d8052745493eb900bb9df6f6.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
ASRock B650M Pro RS WiFi,159.25,https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg,AM5,Micro ATX,256 GB,4,Black / Silver,4.5
Gigabyte B760M GAMING PLUS WIFI DDR4,119.13,https://cdna.pcpartpicker.com/static/forever/images/product/6dcbd73f46d20ca37c1e80a00f3ef206.256p.jpg,LGA1700,Micro ATX,128 GB,4,Black / Silver,4
Asus ROG STRIX B850-A GAMING WIFI,199.99,AM5,AM5,ATX,192 GB,4,White,4.5
Asus TUF GAMING B850-PLUS WIFI,189.98,AM5,AM5,ATX,256 GB,4,Black / Silver,4
Asus ROG STRIX B650E-I GAMING WIFI,206.99,https://cdna.pcpartpicker.com/static/forever/images/product/bf950d502a28575d015348684bf78a37.256p.jpg,AM5,Mini ITX,96 GB,2,Black,4
MSI PRO B550M-VC WIFI,115.73,https://cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg,AM4,Micro ATX,128 GB,4,Black,4.5
MSI MAG B550 TOMAHAWK MAX WIFI,169.99,https://cdna.pcpartpicker.com/static/forever/images/product/cf20560e7e4a9e474fcb4c88238e4ffd.256p.jpg,AM4,ATX,128 GB,4,Silver / Black,4.5
MSI MAG X870 TOMAHAWK WIFI,232.73,https://cdna.pcpartpicker.com/static/forever/images/product/ec3fc6477ed914f51a028bc29f0e20aa.256p.jpg,AM5,ATX,256 GB,4,Black,4.5
Asus ROG CROSSHAIR X870E DARK HERO,550,https://cdna.pcpartpicker.com/static/forever/images/product/a14b5a84c03bd229c4a6b4882da29013.256p.jpg,AM5,ATX,256 GB,4,Black,5
Gigabyte A620I AX,122.94,https://cdna.pcpartpicker.com/static/forever/images/product/69a825f37db70263d7e51fb24fb8e887.256p.jpg,AM5,Mini ITX,96 GB,2,Black / Gray,4
Asus TUF GAMING B550-PLUS WIFI II,105.94,https://cdna.pcpartpicker.com/static/forever/images/product/6b136eab8dcdd8f78e02da5a09b96795.256p.jpg,AM4,ATX,128 GB,4,Black / Gray,4
MSI B650 GAMING PLUS WIFI,149.25,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg,AM5,ATX,192 GB,4,Black,4.5
MSI PRO B760-P WIFI DDR4,128.97,https://cdna.pcpartpicker.com/static/forever/images/product/28e8ce6b41464b892862574420f45b63.256p.jpg,LGA1700,ATX,128 GB,4,Black,4.5
Gigabyte X870 AORUS ELITE WIFI7 ICE,241.46,https://cdna.pcpartpicker.com/static/forever/images/product/d1f30b497f0fd6289278b33ec776f86b.256p.jpg,AM5,ATX,256 GB,4,White,4.5
Asus ROG CROSSHAIR X870E GLACIAL,919.47,https://cdna.pcpartpicker.com/static/forever/images/product/eb96890a852502233ce1cd81673d0ad6.256p.jpg,AM5,EATX,256 GB,4,White / Silver,0
MSI B850 GAMING PLUS WIFI6E,119.99,https://cdna.pcpartpicker.com/static/forever/images/product/34e776866180181de790f98268092efd.256p.jpg,AM5,ATX,256 GB,4,Silver,4.5
Asus ROG STRIX B550-F GAMING WIFI II,142.94,https://cdna.pcpartpicker.com/static/forever/images/product/923cae0c8159c98aaf91541a20f95dc9.256p.jpg,AM4,ATX,128 GB,4,Black / Red,4.5
MSI PRO B850-S WIFI6E,114.45,https://cdna.pcpartpicker.com/static/forever/images/product/bf040b7e95e6a515f5c1fabd2a011a08.256p.jpg,AM5,ATX,256 GB,4,Black,5
ASRock B850M-X R2.0,104.99,https://cdna.pcpartpicker.com/static/forever/images/product/7d10673e332d20614128a532027ca071.256p.jpg,AM5,Micro ATX,128 GB,2,Black / White,5
ASRock B550M-ITX/ac,118.94,https://cdna.pcpartpicker.com/static/forever/images/product/66aa5dd590cf1bb5fe8de0417f9ed7e6.256p.jpg,AM4,Mini ITX,64 GB,2,Silver / Black,4
